generatedAt,heroCode,heroKey,heroName,heroEnglishName,slot,skillGroup,skillId,passiveSkillId,skillName,maxLevel,coverageStatus,sourceExtension,coefficientText,textSource
2026-05-21T23:37:09.159Z,1,Jackie,杰琪,Jackie,P,1001100,None,JackiePassive,鲜血盛宴,3,extension_without_damage_fields,JackiePassiveData,杰琪使用普攻或技能造成伤害时，将在{0}秒内对敌人施加可以造成{1}(+攻击力{2})持续伤害的流血效果，最多可以叠加{3}层。 流血达到叠层上限或杰琪参与击杀实验体时，杰琪将进入持续{4}秒的分泌肾上腺素状态，此时每次对敌人造成普攻或者技能伤害时，将赋予敌人流血叠层上限，并造成{5}(+攻击力{6})的额外技能伤害，同时杰琪根据自身失去的体力恢复{7}(+攻击力{8}) ~ {9}(+攻击力{10})的体力。 当杰琪体力低于{11}时，将获得最大的体力恢复效果。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,1,Jackie,杰琪,Jackie,W,1001300,JackieActive2,None,断筋,5,extension_without_damage_fields,JackieActive2Data,杰琪下一次普攻得到了强化，额外造成{0}(+额外攻击力的{1})的技能伤害，同时使目标的移动速度减少{3}，持续{2}秒。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,2,Aya,阿雅,Aya,P,1002100,None,AyaPassive,阿雅之正义,3,extension_without_damage_fields,AyaPassiveData,阿雅遇到攻击自动生成护盾，{0}秒内防御{1}(+攻击力的{2})(+技能增幅{4}) 伤害。 每当阿雅攻击敌人时，「阿雅之正义」冷却时间减少{3}秒。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,2,Aya,阿雅,Aya,E,1002400,AyaActive3,None,转弯,5,extension_without_damage_fields,AyaActive3Data,阿雅朝着指定方向快速移动。 返还{0}二连射和稳定射击的冷却。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,3,Fiora,菲欧娜,Fiora,P,1003100,None,FioraPassive,刺击,3,extension_without_damage_fields,FioraPassiveData,菲欧娜每次使用技能命中敌人，可以叠加刺击标识。使用技能命中持有{0}次叠层的敌人时，将对敌人造成{7}(+技能增幅{6})额外技能伤害，菲欧娜体力恢复{9}(+技能增幅{8})，且移动速度在{2}秒内增加{3}后逐渐减缓。菲欧娜长刺的剩余冷却时间减少{4}，其他基本技能剩余冷却时间减少{5}。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,3,Fiora,菲欧娜,Fiora,W,1003300,FioraActive2,None,复杂进攻,5,extension_without_damage_fields,FioraActive2Data,菲欧娜快速向前挥剑两次，每次造成{3}(+技能增幅{10})技能伤害。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,3,Fiora,菲欧娜,Fiora,R,1003500,FioraActive4_1,FioraActive4Passive,飞刺,3,extension_without_damage_fields,FioraActive4Data,菲欧娜向指定方向短距离突进发起攻击，造成{1}(+技能增幅{12})技能伤害，敌人的移动速度在{9}秒间减少{10}。 飞刺技能最多可以额外使用2次。 第三次施法时，造成{16}(+技能增幅{17})技能伤害并使敌人晕厥{15}秒。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,4,Magnus,马格努斯,Magnus,P,1004100,None,MagnusPassive,意志,3,extension_without_damage_fields,MagnusPassiveData,马格努斯每次使用普攻命中敌人实验体时，将获得{3}个意志叠层；使用技能命中时，获得{4}个叠层。每个意志叠层增加{0}防御力，最多可以叠加{1}次。达到叠层上限时，马格努斯每秒体力再生增加{2}。,dak.gg api zh-CN
2026-05-21T23:37:09.159Z,6,Nadine,娜町,Nadine,P,1006100,None,NadinePassive,野性,3,extension_without_damage_fields,NadinePassiveData,娜町参与击杀野生动物或实验体时将获得野性叠层。（叠层上限 : {5}） 鸡 : {0} / 蝙蝠，野猪 : {1} / 野狗，狼，乌鸦 : {2} / 熊 : {3} / 实验体 : {4},dak.gg api zh-CN
2026-05-21T23:37:09.159Z,6,Nadine,娜町,Nadine,E,1006400,NadineActive3_1,None,猿猴的钢丝绳,5,extension_without_damage_fields,NadineActive3Data,娜町朝指定位置发射并设置钢丝绳。{2}m范围内钢丝绳可维持{1}秒。维持期间娜町的攻击速度会提高{3}(+技能增幅的{5})。 再次使用技能，钢丝绳会将娜町瞬间移动至发射处，攻击速度增加时间持续{4}秒。,dak.gg api zh-CN
